section,rectangle,ROI,label,xcentroid,ycentroid,MajorAxis,MinorAxis,angle,circ.,AR,round,solidity
2,2,64,20210909_Xyln_02_2.tif,0.436,6.057,0.604,0.47,163.024,0.933,1.287,0.777,0.929
2,2,65,20210909_Xyln_02_2.tif,3.841,6.172,0.756,0.201,161.337,0.539,3.771,0.265,0.811
2,3,1,20210909_Xyln_02_3.tif,1.028,0.33,0.902,0.522,172.695,0.867,1.729,0.578,0.948
2,3,2,20210909_Xyln_02_3.tif,4.681,0.53,1.072,0.45,147.47,0.728,2.382,0.42,0.906
2,3,3,20210909_Xyln_02_3.tif,3.855,0.582,1.027,0.472,165.256,0.675,2.177,0.459,0.874
2,3,4,20210909_Xyln_02_3.tif,5.618,0.628,0.795,0.66,145.223,0.902,1.205,0.83,0.948
2,3,5,20210909_Xyln_02_3.tif,3.14,0.677,0.841,0.281,133.425,0.512,2.991,0.334,0.738
2,3,6,20210909_Xyln_02_3.tif,0.569,0.802,0.742,0.51,163.432,0.891,1.455,0.687,0.943
2,3,7,20210909_Xyln_02_3.tif,2.05,0.863,0.752,0.56,155.959,0.867,1.343,0.745,0.922
2,3,8,20210909_Xyln_02_3.tif,1.358,1.004,0.858,0.615,142.251,0.895,1.396,0.717,0.939
2,3,9,20210909_Xyln_02_3.tif,2.825,1.024,0.584,0.492,150.801,0.972,1.187,0.842,0.936
2,3,10,20210909_Xyln_02_3.tif,4.064,1.194,0.889,0.424,154.268,0.695,2.098,0.477,0.858
2,3,11,20210909_Xyln_02_3.tif,4.843,1.116,1.019,0.29,159.269,0.525,3.516,0.284,0.829
2,3,12,20210909_Xyln_02_3.tif,1.1,1.519,0.806,0.438,167.662,0.787,1.842,0.543,0.906
2,3,13,20210909_Xyln_02_3.tif,2.18,1.521,0.839,0.564,164.835,0.895,1.489,0.672,0.96
2,3,14,20210909_Xyln_02_3.tif,2.998,1.568,0.72,0.449,174.812,0.863,1.603,0.624,0.911
2,3,15,20210909_Xyln_02_3.tif,5.075,1.62,1.028,0.372,162.926,0.635,2.764,0.362,0.834
